,sex,farminc,age,annhrs,annlabinc,degree,labincbus,yrsexp,yrsftexp,yrsptexp,hrwage,race,region,job
60,male,0.0,43,2160,32620.0,no_college,0,25.0,25.0,0.0,15.1018514633179,white,northcentral,manager
61,male,0.0,25,3000,26000.0,bachelors,0,6.0,6.0,0.0,8.66666698455811,white,south,sales
62,male,0.0,31,2080,29000.0,no_college,0,13.0,7.0,6.0,13.942307472229,black,south,constructextractinstall
63,male,0.0,37,3104,31000.0,no_college,0,19.0,19.0,0.0,9.9871129989624,white,south,constructextractinstall
64,male,0.0,31,2121,18000.0,no_college,0,11.0,11.0,0.0,8.48656272888184,white,northcentral,constructextractinstall
65,male,0.0,34,2016,93000.0,advanced_degree,0,12.0,9.0,3.0,46.1309509277344,white,south,computer
66,male,0.0,55,1920,29000.0,no_college,0,37.0,37.0,0.0,15.1041669845581,hisp,west,officeadmin
67,male,0.0,45,1952,86020.0,no_college,0,22.0,18.0,4.0,44.0676231384277,white,south,computer
68,male,0.0,30,1770,22000.0,no_college,0,12.0,8.0,4.0,12.4293785095215,black,south,constructextractinstall
69,male,0.0,29,1920,19000.0,no_college,0,11.0,11.0,0.0,9.89583301544189,white,west,constructextractinstall
70,male,0.0,44,2640,75000.0,no_college,0,19.0,18.0,1.0,28.4090900421143,white,west,constructextractinstall
71,male,0.0,45,2695,50000.0,no_college,0,26.0,26.0,0.0,18.5528755187988,black,northcentral,transport
72,male,0.0,41,4092,12000.0,no_college,0,20.0,19.0,1.0,2.93255138397217,black,south,transport
73,male,0.0,37,2544,15500.0,no_college,0,19.0,19.0,0.0,6.09276723861694,white,northcentral,manager
74,male,0.0,39,669,52147.0,no_college,0,21.0,19.0,2.0,77.9476852416992,black,south,production
75,male,0.0,56,1950,42000.0,no_college,0,33.0,33.0,0.0,21.5384616851807,black,south,transport
76,male,0.0,60,1886,23200.0,bachelors,0,38.0,38.0,0.0,12.3011665344238,white,west,financialop
77,male,0.0,50,1526,38000.0,no_college,0,25.0,19.0,6.0,24.9017028808594,white,northcentral,production
78,male,0.0,48,1772,31318.0,no_college,0,22.0,17.0,5.0,17.6738147735596,white,south,sales
79,male,0.0,50,2139,27600.0,no_college,0,30.0,30.0,0.0,12.9032258987427,black,south,production
80,male,0.0,33,2392,48223.0,no_college,0,10.0,9.0,1.0,20.1601161956787,white,west,constructextractinstall
81,male,0.0,36,2760,26000.0,no_college,0,18.0,14.0,4.0,9.42028999328613,white,south,production
82,male,0.0,46,2530,46500.0,no_college,0,25.0,25.0,0.0,18.3794460296631,white,northcentral,architect
83,male,0.0,41,2205,140000.0,no_college,0,17.0,15.0,2.0,63.4920616149902,white,west,protective
84,male,0.0,32,1672,14700.0,no_college,0,14.0,14.0,0.0,8.79186630249023,white,south,na
85,male,0.0,42,1680,58000.0,no_college,0,17.0,17.0,0.0,34.523811340332,white,south,manager
87,male,0.0,39,2333,28000.0,bachelors,0,20.0,14.0,6.0,12.0017147064209,white,west,artist
88,male,0.0,59,2339,29000.0,no_college,0,32.0,32.0,0.0,12.3984613418579,black,south,production
89,male,0.0,45,2381,54000.0,no_college,0,21.0,15.0,6.0,22.6795463562012,black,northcentral,officeadmin
90,male,0.0,37,2009,41000.0,no_college,0,18.0,15.0,3.0,20.4081630706787,black,northeast,production
91,male,0.0,35,2856,42000.0,no_college,0,16.0,16.0,0.0,14.7058820724487,white,south,manager
92,male,0.0,43,1040,3500.0,bachelors,0,16.0,13.0,3.0,3.36538457870483,black,west,transport
93,male,0.0,27,3162,53600.0,no_college,0,8.0,8.0,0.0,16.9512958526611,white,south,production
94,male,0.0,59,1960,75000.0,no_college,0,35.0,32.0,3.0,38.2653045654297,black,south,officeadmin
95,male,0.0,26,2102,35000.0,bachelors,0,7.0,2.0,5.0,16.6508083343506,white,south,computer
96,male,0.0,38,2590,40000.0,no_college,0,19.0,19.0,0.0,15.4440155029297,white,northcentral,constructextractinstall
97,male,0.0,50,1816,8000.0,no_college,0,32.0,30.0,2.0,4.40528631210327,black,south,production
98,male,0.0,33,2350,63000.0,no_college,0,12.0,12.0,0.0,26.8085098266602,white,northeast,protective
99,male,0.0,59,1868,19403.0,no_college,0,41.0,38.0,3.0,10.3870449066162,white,south,production
100,male,0.0,33,2500,65000.0,no_college,0,10.0,9.0,1.0,26.0,white,northeast,sales
101,male,0.0,52,2005,44000.0,no_college,0,34.0,34.0,0.0,21.9451370239258,hisp,south,constructextractinstall
102,male,0.0,27,2000,9000.0,no_college,0,9.0,7.0,2.0,4.5,black,south,foodcare
103,male,0.0,51,2090,16000.0,no_college,0,33.0,33.0,0.0,7.65550231933594,white,northeast,production
104,male,0.0,47,2048,29000.0,no_college,0,23.0,23.0,0.0,14.16015625,black,northcentral,officeadmin
105,male,0.0,31,2400,49000.0,bachelors,0,12.0,11.0,1.0,20.4166660308838,white,northeast,computer
106,male,0.0,30,2086,47500.0,no_college,0,9.0,9.0,0.0,22.7708530426025,black,south,transport
107,male,0.0,54,2550,120000.0,no_college,0,36.0,23.0,13.0,47.0588226318359,white,south,computer
108,male,0.0,43,2000,86000.0,no_college,0,21.0,21.0,0.0,43.0,black,south,architect
109,male,0.0,61,1960,39200.0,no_college,0,43.0,4.0,39.0,20.0,white,northcentral,architect
110,male,0.0,53,2205,23500.0,no_college,0,31.0,31.0,0.0,10.6575965881348,white,west,transport
111,male,1.0,58,2924,32000.0,bachelors,0,39.0,39.0,0.0,10.9439125061035,white,northeast,socialworker
112,male,0.0,45,2496,48000.0,bachelors,0,19.0,19.0,0.0,19.230770111084,white,south,manager
113,male,0.0,43,1976,61000.0,no_college,0,22.0,18.0,4.0,30.8704452514648,black,south,transport
114,male,0.0,35,1800,116000.0,no_college,0,11.0,11.0,0.0,64.4444427490234,hisp,west,protective
115,male,0.0,36,1624,39000.0,bachelors,0,16.0,12.0,4.0,24.014778137207,white,south,legaleduc
116,male,0.0,29,2467,35900.0,no_college,0,9.0,9.0,0.0,14.5520877838135,black,south,manager
117,male,0.0,36,1560,38819.0,no_college,0,12.0,9.93574619293213,2.06425380706787,24.8839740753174,white,south,transport
118,male,0.0,56,2400,28000.0,advanced_degree,0,34.0,31.0,3.0,11.6666669845581,white,south,postseceduc
119,male,0.0,40,2259,23000.0,no_college,0,21.0,19.0,2.0,10.1814966201782,white,northeast,financialop
120,male,0.0,48,2090,25000.0,no_college,0,30.0,30.0,0.0,11.9617223739624,white,northeast,computer
121,male,0.0,29,2208,43000.0,no_college,0,11.0,10.0,1.0,19.4746379852295,white,northcentral,transport
122,male,0.0,36,1192,25000.0,no_college,0,17.0,13.0,4.0,20.9731540679932,white,northeast,constructextractinstall
123,male,0.0,33,2076,16000.0,no_college,0,12.0,10.0,2.0,7.70712900161743,black,south,constructextractinstall
124,male,0.0,50,3932,52000.0,bachelors,0,31.0,27.0,4.0,13.2248220443726,white,west,legaleduc
125,male,0.0,32,2468,25000.0,no_college,0,12.0,12.0,0.0,10.12965965271,white,northcentral,production
126,male,0.0,42,1904,60000.0,no_college,0,18.0,18.0,0.0,31.5126056671143,white,south,scientist
127,male,0.0,27,1848,24000.0,no_college,0,9.0,9.0,0.0,12.9870128631592,white,west,constructextractinstall
128,male,0.0,42,1640,20661.0,no_college,0,17.0,9.0,8.0,12.5981702804565,black,northeast,production
129,male,0.0,50,2011,8293.0,no_college,0,30.0,29.0,1.0,4.12381887435913,black,south,production
130,male,0.0,40,2584,28000.0,no_college,0,22.0,22.0,0.0,10.8359136581421,black,south,transport
131,male,0.0,33,2397,48000.0,no_college,0,11.0,11.0,0.0,20.025032043457,white,south,constructextractinstall
132,male,0.0,45,2422,24000.0,no_college,0,27.0,27.0,0.0,9.90916633605957,black,south,production
133,male,0.0,37,3640,10800.0,no_college,0,14.0,11.0,3.0,2.96703290939331,black,northcentral,foodcare
134,male,0.0,52,2450,31700.0,bachelors,0,34.0,34.0,0.0,12.938775062561,white,northeast,production
135,male,0.0,51,2000,51000.0,no_college,0,32.0,31.0,1.0,25.5,black,northeast,production
136,male,0.0,50,2295,29000.0,no_college,0,31.0,31.0,0.0,12.6361656188965,white,northcentral,production
137,male,0.0,33,1856,56435.0,bachelors,0,11.0,4.0,7.0,30.4067878723145,white,south,production
138,male,0.0,51,4160,70000.0,no_college,0,16.0,15.0,1.0,16.8269233703613,black,south,officeadmin
139,male,0.0,31,3096,48500.0,no_college,0,9.0,8.0,1.0,15.6653747558594,white,south,constructextractinstall
140,male,0.0,26,3980,40000.0,no_college,2500,7.0,6.0,1.0,10.0502510070801,white,northcentral,transport
141,male,0.0,42,2000,32000.0,no_college,0,18.0,17.0,1.0,16.0,hisp,south,protective
142,male,0.0,34,2000,90500.0,no_college,0,15.0,11.0,4.0,45.25,white,west,manager
143,male,0.0,33,2340,60000.0,no_college,0,10.0,10.0,0.0,25.6410255432129,black,south,computer
144,male,0.0,37,2600,30000.0,no_college,0,18.0,18.0,0.0,11.5384616851807,black,south,sales
145,male,0.0,39,2600,38000.0,no_college,0,15.0,15.0,0.0,14.615385055542,black,south,transport
146,male,0.0,63,2254,14000.0,no_college,0,44.0,44.0,0.0,6.21118021011353,black,south,production
147,male,0.0,34,2056,26817.0,no_college,0,11.0,8.0,3.0,13.043288230896,white,northcentral,officeadmin
148,male,0.0,64,1270,30000.0,no_college,0,8.0,2.0,6.0,23.6220474243164,white,northcentral,officeadmin
149,male,0.0,38,2241,93249.0,no_college,0,19.0,16.0,3.0,41.6104431152344,white,northcentral,computer
150,male,0.0,28,2304,45300.0,no_college,0,8.0,8.0,0.0,19.6614589691162,white,northcentral,constructextractinstall
151,male,0.0,32,2500,29000.0,no_college,0,13.0,11.0,2.0,11.6000003814697,black,south,transport
152,male,0.0,30,2100,32000.0,no_college,0,12.0,12.0,0.0,15.2380952835083,white,northcentral,constructextractinstall
153,male,0.0,47,1560,20000.0,no_college,0,28.0,28.0,0.0,12.8205127716064,white,south,manager
154,male,0.0,41,2500,45000.0,no_college,0,22.0,22.0,0.0,18.0,white,south,constructextractinstall
155,male,0.0,51,2580,26000.0,no_college,0,28.0,26.0,2.0,10.0775194168091,black,south,transport
156,male,0.0,57,1960,24000.0,no_college,0,39.0,39.0,0.0,12.2448978424072,black,south,production
157,male,0.0,46,1584,52565.0,no_college,0,19.0,19.0,0.0,33.1849746704102,white,northcentral,production
158,male,0.0,32,1900,71000.0,no_college,0,13.0,11.0,2.0,37.3684196472168,black,south,transport
159,male,0.0,41,2504,47000.0,no_college,0,22.0,22.0,0.0,18.7699680328369,black,northcentral,manager
160,male,0.0,31,2226,25000.0,no_college,0,12.0,11.0,1.0,11.2309074401855,white,west,foodcare
161,male,0.0,33,2400,50000.0,no_college,0,15.0,15.0,0.0,20.8333339691162,white,northeast,manager
162,male,0.0,42,2000,26500.0,no_college,0,23.0,20.0,3.0,13.25,black,south,officeadmin
163,male,0.0,28,172,700.0,no_college,0,10.0,6.0,4.0,4.06976747512817,white,south,constructextractinstall
164,male,0.0,36,2080,40000.0,advanced_degree,0,14.0,9.0,5.0,19.230770111084,black,south,socialworker
165,male,0.0,39,2760,50000.0,no_college,0,20.0,20.0,0.0,18.1159420013428,white,northcentral,constructextractinstall
166,male,0.0,50,2184,50000.0,no_college,0,26.0,24.0,2.0,22.8937721252441,white,south,architect
167,male,0.0,46,2806,15936.0,no_college,0,28.0,17.0,11.0,5.67925882339478,black,northcentral,constructextractinstall
168,male,0.0,27,2420,18300.0,no_college,0,9.0,9.0,0.0,7.56198358535767,white,west,manager
169,male,0.0,60,3852,26000.0,no_college,0,42.0,42.0,0.0,6.74974060058594,black,northcentral,manager
170,male,0.0,37,2500,49000.0,no_college,0,14.0,12.0,2.0,19.6000003814697,white,south,production
171,male,0.0,57,2000,20400.0,bachelors,0,34.0,34.0,0.0,10.1999998092651,white,northcentral,building
172,male,0.0,62,2279,48340.0,bachelors,0,37.0,33.0,4.0,21.2110576629639,white,south,financialop
173,male,0.0,30,1956,10000.0,no_college,0,12.0,12.0,0.0,5.11247444152832,white,south,constructextractinstall
