sex,age,annhrs,annlabinc,degree,yrsexp,yrsftexp,yrsptexp,hrwage,race,job,region
1,38,2590,40000.0,0.0,19.0,19.0,0.0,15.4440155,2,5,0
1,50,1816,8000.0,0.0,32.0,30.0,2.0,4.405286312,0,15,2
1,33,2350,63000.0,0.0,12.0,12.0,0.0,26.80850983,2,16,1
1,59,1868,19403.0,0.0,41.0,38.0,3.0,10.38704491,2,15,2
1,33,2500,65000.0,0.0,10.0,9.0,1.0,26.0,2,17,1
1,52,2005,44000.0,0.0,34.0,34.0,0.0,21.94513702,1,5,2
1,27,2000,9000.0,0.0,9.0,7.0,2.0,4.5,0,7,2
1,51,2090,16000.0,0.0,33.0,33.0,0.0,7.655502319,2,15,1
1,47,2048,29000.0,0.0,23.0,23.0,0.0,14.16015625,0,13,0
1,31,2400,49000.0,1.0,12.0,11.0,1.0,20.41666603,2,4,1
1,30,2086,47500.0,0.0,9.0,9.0,0.0,22.77085304,0,20,2
1,53,2205,23500.0,0.0,31.0,31.0,0.0,10.65759659,2,20,3
1,58,2924,32000.0,1.0,39.0,39.0,0.0,10.94391251,2,19,1
1,45,2496,48000.0,1.0,19.0,19.0,0.0,19.23077011,2,12,2
1,43,1976,61000.0,0.0,22.0,18.0,4.0,30.87044525,0,20,2
1,36,1624,39000.0,1.0,16.0,12.0,4.0,24.01477814,2,11,2
1,29,2467,35900.0,0.0,9.0,9.0,0.0,14.55208778,0,12,2
1,36,1560,38819.0,0.0,12.0,10.0,3.0,24.88397408,2,20,2
1,56,2400,28000.0,2.0,34.0,31.0,3.0,11.66666698,2,14,2
1,40,2259,23000.0,0.0,21.0,19.0,2.0,10.18149662,2,6,1
1,48,2090,25000.0,0.0,30.0,30.0,0.0,11.96172237,2,4,1
1,29,2208,43000.0,0.0,11.0,10.0,1.0,19.47463799,2,20,0
1,36,1192,25000.0,0.0,17.0,13.0,4.0,20.97315407,2,5,1
1,33,2076,16000.0,0.0,12.0,10.0,2.0,7.707129002,0,5,2
1,32,2468,25000.0,0.0,12.0,12.0,0.0,10.12965965,2,15,0
1,42,1904,60000.0,0.0,18.0,18.0,0.0,31.51260567,2,18,2
1,27,1848,24000.0,0.0,9.0,9.0,0.0,12.98701286,2,5,3
1,42,1640,20661.0,0.0,17.0,9.0,8.0,12.59817028,0,15,1
1,50,2011,8293.0,0.0,30.0,29.0,1.0,4.123818874,0,15,2
1,40,2584,28000.0,0.0,22.0,22.0,0.0,10.83591366,0,20,2
1,33,2397,48000.0,0.0,11.0,11.0,0.0,20.02503204,2,5,2
1,45,2422,24000.0,0.0,27.0,27.0,0.0,9.909166336,0,15,2
1,52,2450,31700.0,1.0,34.0,34.0,0.0,12.93877506,2,15,1
1,51,2000,51000.0,0.0,32.0,31.0,1.0,25.5,0,15,1
1,50,2295,29000.0,0.0,31.0,31.0,0.0,12.63616562,2,15,0
1,33,1856,56435.0,1.0,11.0,4.0,7.0,30.40678787,2,15,2
1,42,2000,32000.0,0.0,18.0,17.0,1.0,16.0,1,16,2
1,33,2340,60000.0,0.0,10.0,10.0,0.0,25.64102554,0,4,2
1,37,2600,30000.0,0.0,18.0,18.0,0.0,11.53846169,0,17,2
1,39,2600,38000.0,0.0,15.0,15.0,0.0,14.61538506,0,20,2
1,34,2056,26817.0,0.0,11.0,8.0,3.0,13.04328823,2,13,0
1,64,1270,30000.0,0.0,8.0,2.0,6.0,23.62204742,2,13,0
1,28,2304,45300.0,0.0,8.0,8.0,0.0,19.66145897,2,5,0
1,32,2500,29000.0,0.0,13.0,11.0,2.0,11.60000038,0,20,2
1,30,2100,32000.0,0.0,12.0,12.0,0.0,15.23809528,2,5,0
1,47,1560,20000.0,0.0,28.0,28.0,0.0,12.82051277,2,12,2
1,41,2500,45000.0,0.0,22.0,22.0,0.0,18.0,2,5,2
1,51,2580,26000.0,0.0,28.0,26.0,2.0,10.07751942,0,20,2
1,57,1960,24000.0,0.0,39.0,39.0,0.0,12.24489784,0,15,2
1,46,1584,52565.0,0.0,19.0,19.0,0.0,33.18497467,2,15,0
1,41,2504,47000.0,0.0,22.0,22.0,0.0,18.76996803,0,12,0
1,31,2226,25000.0,0.0,12.0,11.0,1.0,11.23090744,2,7,3
1,33,2400,50000.0,0.0,15.0,15.0,0.0,20.83333397,2,12,1
1,42,2000,26500.0,0.0,23.0,20.0,3.0,13.25,0,13,2
1,36,2080,40000.0,2.0,14.0,9.0,5.0,19.23077011,0,19,2
1,39,2760,50000.0,0.0,20.0,20.0,0.0,18.115942,2,5,0
1,50,2184,50000.0,0.0,26.0,24.0,2.0,22.89377213,2,0,2
1,27,2420,18300.0,0.0,9.0,9.0,0.0,7.561983585,2,12,3
1,37,2500,49000.0,0.0,14.0,12.0,2.0,19.60000038,2,15,2
1,57,2000,20400.0,1.0,34.0,34.0,0.0,10.19999981,2,2,0
1,62,2279,48340.0,1.0,37.0,33.0,4.0,21.21105766,2,6,2
1,30,1956,10000.0,0.0,12.0,12.0,0.0,5.112474442,2,5,2
1,31,2088,45000.0,0.0,7.0,7.0,0.0,21.55172348,2,16,2
1,30,2550,55600.0,0.0,11.0,10.0,1.0,21.80392075,2,13,0
1,43,2304,62000.0,1.0,24.0,19.0,5.0,26.90972137,2,3,0
1,57,2080,50000.0,0.0,39.0,39.0,0.0,24.03846169,2,18,0
1,38,2268,33000.0,1.0,20.0,20.0,0.0,14.55026436,0,18,2
1,45,1880,52000.0,0.0,26.0,26.0,0.0,27.65957451,0,5,2
1,44,2044,39000.0,0.0,23.0,23.0,0.0,19.08023453,0,2,0
1,44,2056,18250.0,0.0,26.0,25.0,1.0,8.876459122,2,13,0
1,51,1907,47000.0,0.0,32.0,27.0,5.0,24.64603996,2,5,3
1,45,2010,45300.0,0.0,26.0,26.0,0.0,22.53731346,0,16,1
1,59,1560,22000.0,0.0,41.0,36.0,5.0,14.10256386,2,5,1
1,37,2080,13100.0,0.0,19.0,19.0,0.0,6.298077106,0,15,2
1,26,2632,33000.0,1.0,6.0,4.0,2.0,12.53799438,2,13,2
1,25,1020,25000.0,0.0,7.0,5.0,2.0,24.50980377,0,9,2
1,54,1984,22600.0,0.0,25.0,17.0,8.0,11.39112949,0,15,0
1,53,1944,60000.0,0.0,29.0,28.0,1.0,30.86419678,2,4,3
1,26,2650,33000.0,0.0,7.0,7.0,0.0,12.45283031,0,12,2
1,44,1920,38844.0,0.0,19.0,16.0,3.0,20.23125076,2,5,2
1,34,1584,14000.0,0.0,8.0,7.0,1.0,8.838383675,2,13,0
1,49,2080,8000.0,0.0,30.0,25.0,5.0,3.846153736,0,12,2
1,26,2206,33000.0,1.0,8.0,3.0,5.0,14.95920181,2,1,1
1,57,2064,24000.0,0.0,35.0,31.0,4.0,11.6279068,2,12,0
1,48,2256,23000.0,0.0,21.0,16.0,5.0,10.19503593,2,15,0
1,37,2210,17000.0,0.0,18.0,18.0,0.0,7.692307472,0,20,2
1,39,2805,24000.0,1.0,20.0,20.0,0.0,8.556149483,0,17,0
1,26,2750,8000.0,0.0,8.0,8.0,0.0,2.909090996,2,12,2
1,28,1482,24000.0,1.0,6.0,2.0,4.0,16.19433212,0,11,0
1,53,2500,42000.0,0.0,34.0,34.0,0.0,16.79999924,0,12,1
1,37,2044,18500.0,0.0,19.0,19.0,0.0,9.050880432,2,20,2
1,39,1968,45000.0,0.0,9.0,9.0,0.0,22.86585426,2,5,0
1,32,1922,25000.0,0.0,11.0,11.0,0.0,13.00728416,2,5,2
1,42,1840,17000.0,0.0,23.0,21.0,2.0,9.23913002,0,20,2
1,40,1960,57000.0,0.0,18.0,14.0,4.0,29.08163261,2,12,0
1,38,2520,44000.0,0.0,17.0,17.0,0.0,17.46031761,0,20,2
1,34,2100,16000.0,0.0,16.0,16.0,0.0,7.619047642,0,20,2
1,32,2000,23000.0,0.0,10.0,2.0,8.0,11.5,0,17,3
1,34,2860,9000.0,0.0,9.0,7.0,2.0,3.146853209,2,19,3
1,55,2250,56000.0,0.0,32.0,31.0,1.0,24.88888931,2,13,3
1,31,2120,49700.0,0.0,12.0,12.0,0.0,23.44339561,2,5,1
1,33,2040,36897.0,2.0,10.0,3.0,7.0,18.08676529,2,8,2
1,40,1956,64000.0,1.0,16.0,10.0,6.0,32.71983719,2,6,1
1,51,1500,22000.0,0.0,24.0,21.0,4.0,14.66666698,0,20,0
1,34,2000,15000.0,0.0,14.0,14.0,0.0,7.5,0,20,2
1,43,2205,34000.0,0.0,24.0,24.0,0.0,15.4195013,0,17,2
1,56,2550,27000.0,0.0,38.0,38.0,0.0,10.5882349,2,5,2
1,42,2450,56000.0,0.0,13.0,13.0,0.0,22.8571434,2,15,2
1,27,2850,30000.0,0.0,9.0,8.0,1.0,10.52631569,2,16,1
1,50,2064,54252.0,2.0,28.0,20.0,8.0,26.2848835,2,10,0
1,40,2000,31000.0,0.0,16.0,16.0,0.0,15.5,2,12,2
1,27,2223,26000.0,0.0,9.0,3.0,6.0,11.69590664,2,13,0
1,26,2000,11000.0,0.0,8.0,8.0,0.0,5.5,0,13,2
1,45,2008,43000.0,1.0,23.0,21.0,2.0,21.41434288,0,12,0
1,28,1880,5875.0,0.0,10.0,7.0,3.0,3.125,2,20,2
1,43,2040,29000.0,0.0,24.0,23.0,1.0,14.21568584,0,2,2
1,36,1960,36000.0,0.0,12.0,12.0,0.0,18.36734772,2,15,0
1,47,2550,45000.0,1.0,27.0,27.0,0.0,17.64705849,2,5,2
1,28,2244,53000.0,1.0,9.0,4.0,5.0,23.6185379,2,16,1
1,59,1795,45000.0,0.0,34.0,31.0,3.0,25.0696373,2,12,2
1,32,2000,48000.0,0.0,11.0,10.0,1.0,24.0,2,2,0
1,27,2080,14000.0,0.0,9.0,8.0,1.0,6.730769157,0,17,2
1,51,2280,5760.0,0.0,33.0,32.0,1.0,2.526315689,0,15,2
1,33,2850,25600.0,1.0,13.0,8.0,5.0,8.982456207,0,8,2
1,35,2100,40000.0,0.0,12.0,12.0,0.0,19.04761887,2,20,2
1,62,2000,32000.0,0.0,37.0,37.0,0.0,16.0,0,2,3
1,63,2000,60000.0,1.0,38.0,34.0,4.0,30.0,2,17,0
1,25,2016,20000.0,0.0,7.0,0.0,7.0,9.920635223,0,15,2
1,26,2034,14000.0,0.0,7.0,7.0,0.0,6.882989407,2,20,0
1,35,2007,66200.0,0.0,15.0,15.0,0.0,32.98455429,2,16,0
1,35,1960,15400.0,0.0,17.0,17.0,0.0,7.857142925,2,15,2
1,30,2400,50000.0,0.0,11.0,11.0,0.0,20.83333397,1,0,3
1,25,2330,48000.0,1.0,6.0,2.0,4.0,20.60085869,2,19,0
1,32,2352,35500.0,0.0,14.0,13.0,1.0,15.09353733,0,5,2
1,35,2849,40000.0,0.0,16.0,15.0,1.0,14.04001427,2,15,0
1,32,2080,48500.0,0.0,8.0,7.0,1.0,23.31730843,2,2,1
